id,text,date,emotion
4901363094654488,段子：母亲送孩子上学时，大盘3000点；母亲送孩子上大学了，大盘还是3000点，现在孩子也要当母亲了，大盘也是3000点！真希望，天下所有的母亲，都像中国股市的点位，永远年轻！,2023-05-14,0
4907008870581850,房地产，股市都不行，消费也坚难。把股拉起来，形成长牛市，个人投资者，社保基金养老金都会大赚，1亿股民消费也会增加起来，当然不要搞到泡泡，慢慢的修复，修复到合理就行了。因为现在中国股市沪深300低估，上证50严重低估。,2023-05-30,1
4904845444122653,石爷聊二句:臭不脸的中国股市里有内贼汉奸，不除掉这些内鬼中国股市没希望!黑嘴大忽悠清除网络平台禁言小散才不受欺骗和伤害L石小杰微博的微博视频,2023-05-24,-1
4901273645879632,#母亲节#母亲送女儿上学时，大盘3000多点；母亲送女儿上大学了，大盘还是3000多点，现在女儿要当母亲了，大盘也是3000多点！祝天下所有的母亲，都像中国股市的点位，永远年轻。,2023-05-14,0
4904679853002502,最近的中国股市走出了经济危机的感觉，实际上，我们的经济韧劲是很好的。很多人说美国经济好，那我们也可以举债发消费券给民间消费，一个人一千块，通胀立马上去，全社会去库存加快，想要这样的效果吗？,2023-05-23,1
4906129337360821,讲几句股市吧：中国经济没问题，中国股市也没问题，别股票一跌，就跟什么似的哭天抢地。焦虑没用，阴阳怪气没用。找到好企业，价格低处死抱死守，别扯其他没用的。,2023-05-27,1
4901287995118925,转：母亲送孩子上学时，大盘3000多点；母亲送孩子上大学了，大盘还是3000多点，现在孩子也要当母亲了，大盘也是3000多点！真希望，天下所有的母亲，都像中国股市的点位，永远年轻！！,2023-05-14,0
4905767607731637,#2023股东大会调研见闻#中远这几年的分红，也是非常非常慷慨的，应该在A股里面也是独一份，没有其它公司能赶上。这两年中国股市进入中特估的时代，业绩越好就跌的越惨，业绩越惨涨得越好，这是一个不争的事实。O中远海控2022年度股东大会问答实录,2023-05-26,0
4897757825339157,中国股市风景这边独好！非要假装自己懂美国。瞎扯淡而已！听党话跟党走！中特估高质量发展新动能把这些关键词理解了就是A股赢家！凡是还在矫情美国加不加息，拿美国说中国事的，都可以取关了。呵呵！,2023-05-04,1
4903536863739919,但斌炒股30年了，赚了160%。董宝珍炒股30年，赚了1%。葛大妈炒股13年，赚了200%中国股市30年，涨了0.23%中国足球30年，没有赢过著名北交所，没有交易量，一潭死水中国房价世界第一,2023-05-20,-1
4896670892692054,中国股市的风格切换是以“股灾”的形式来实现的。,2023-05-01,-1
4901388779786832,母亲送女儿上小学时，大盘3000点；女儿上大学时，大盘3000点；现在女儿要当母亲了，大盘还是3000点。今天母亲节，希望天下所有的母亲，都像中国股市那样，永远年轻。祝福天下所有母亲。,2023-05-14,0
4899479176873683,基金超话在中国股市赚钱有多难游资收割散户官匪勾结老鼠仓收割散户杀猪盘收割国家队利用消息的不对称来收割散户公募基金报团后遗症追涨杀跌等操作反正钱不是自己的用别人的钱去出名只要脸空有好看的外表带头的不作为你我这些人能在市场呆到现在算命大,2023-05-09,-1
4902749291154910,杨德龙：中国股市核心资产对外资具有较大吸引力基金超话L前海开源杨德龙的微博视频,2023-05-18,-2
4901266067557480,今日最佳段子！母亲送女儿上学时，大盘3000多点；母亲送女儿上大学了，大盘还是3000多点；现在女儿要当母亲了，大盘也是3000多点；真希望，天下所有的母亲，都像中国股市的点位，永远年轻！哈哈哈哈哈！,2023-05-14,0
4905514700636399,建议关闭中国股市！最近大A股连续下跌，马上就要跌破3200点啦！有可能回到3000点！全球10年股市几乎都上涨1倍，印度股指更是牛气冲天10年股指上涨3倍。反观我们的股市10年始终“涨幅零”，指数一直稳定在3000点上下，A股熊冠全球。,2023-05-26,-1
4904623423358564,制造业产能过剩、房地产泡沫破灭、地方债务风险、地缘政治危机风险，将成为未来几年（2-3年或更久）中国经济、中国股市面临的四座大山。,2023-05-23,-1
4901311403004541,母亲送孩子上学时，大盘3000多点；母亲送孩子上大学了，大盘还是3000多点，现在孩子也要当母亲了，大盘也是3000多点！真希望，天下所有的母亲，都像中国股市的点位，永远年轻！！#财经知识分享官##母亲节#,2023-05-14,0
4907051379070421,#中国人筑起攀向太空的天梯#中国人一直往天上攀登，中国股市一路向地狱探索。A股阴跌半年，连跌一个月，怎么做到的啊！,2023-05-30,-1
4907052038362915,#财商新星#中国股市天天搞这一套，很有意思吗？大资本象水底鲛龙翻江倒海，就没人问吗？,2023-05-30,-1
4907579563576583,关于股息率，A股历来分歧很大，对于初阶股民而言，有两种常见的争论：正方：每年8%的股息率，不香吗？还能跌到哪里去？反方：分红要除权，账户资产不变，还要交红利税，分红有什么好的？O未来，你将越来越重视“股息率”,2023-05-31,-2
4907489675712332,A股走势，只要用围猎思维看什么都明白了。,2023-05-31,0
4907518251502543,看A股，你会懵逼：到底谁打仗？谁衰退？谁没落？谁破产？~,2023-05-31,0
4907496504823489,#A股#朋友说，市场这个跌法，是希望大家哭得像个孩子，提前过儿童节。,2023-05-31,-1
4907523473148737,大盘为何走弱？政策定调，A股原生态已改变，上涨下跌已有定数！A股超话股市超话#股票##财经##价值投资#L价值投资二十年的微博视频,2023-05-31,0
4907433731819371,热点板块也冲高回落，北资内资机构剧烈出逃。这月走6月估计也好不了，最近护盘都是力度很小，板块轮动全靠消息面。A股感觉实在没啥前途了。下班吃饭睡觉吧，尽量少看盘，别给自己添堵。,2023-05-31,-1
4907405878231818,其实美国一直以来就是科技，消费，医疗A股有没有企业可以与下面的企业对标？改变世界的科技巨头（苹果、特斯拉、英伟达），全球性的消费巨头（宝洁），高端的制造巨头（类似波音），全球性的医药巨头（辉瑞等）。,2023-05-31,0
4907448865130745,A股不行了，房地产不行了，汽车手机也卖不动了，钱都去银行了大幅降低存量房贷利率已经非常紧迫了，不知道为什么央行一点也不急？,2023-05-31,-1
4907485552971267,A股利空下跌成交9388亿，北向资金尾盘异动调仓，后市怎么走？L刘昌松-只做免费内容的微博视频,2023-05-31,0
4907452149270485,#A股#在A股长期持有，等于一无所有，咱们好像一直是赢麻了，也一直亏惨了,2023-05-31,-1
4907459250752637,A股现在就是鬣狗，天天尾盘掏肛模式,2023-05-31,-1
4907422252273930,A股每天都在保卫战。3400点保卫战。3300点保卫战。今天3200点保卫战。,2023-05-31,0
4907448064806689,用心去感受周围的事情，A股这个走势，一点都不让人惊讶,2023-05-31,0
4907407287258948,A股市场这么多年来，所有的大顶和大底都可以叫公募顶和公募底。,2023-05-31,0
4907454900996456,#A股#你在股市过的好吗？,2023-05-31,0
4907441890264947,#A股#习惯了，有利好的时候，市场不涨，告诉你利好已经提前兑现；有利空的时候，就抓紧时间跌一下，告诉你这是利空导致的。你挨了揍，还觉得很有道理。,2023-05-31,-1
4907481555276200,A股超话明天周四，休息了不玩了，反正本周目标已经完成。根本没法玩，如果北伐中船汉光大阳，佰维不动的话20cm，换到ai机器人尾盘竞价拉三个点。。。新能源，创业板跌成死狗，我光储充还小小浮盈，一旦创业板来个中阳，我都不敢想会怎样！ai，累了，过节不玩了~,2023-05-31,-1
4907469208292628,#财经##基金理财##A股#今日基金想法：无操作博时预估值：-3,2023-05-31,-1
4907469367148805,网上流传一副对联，缅怀大A上交所，深交所，北交所，所所不振中小板，创业板，科创板，板板下行大韭菜，中韭菜，小韭菜，菜菜挨刀60后，70后，80后，90后，年年落后大家有什么想说的吗？#a股大跳水##a股#,2023-05-31,-1
4907335287570889,早上好抱怨归抱怨还是那句话A股在酝酿新一轮结构性机会那么大伙思考下新一轮指数上抬靠什么板块？,2023-05-31,0
4907139837464421,和你一起丰富认知，我是沈阳宽宽L我是沈阳宽宽的微博视频,2023-05-30,-2
4907194912610690,未来20年的投资方向是：新能源、半导体芯片、产业互联网、生物医药。这些都只能去A股，没法跑去MG上市。过去20年基金主要赚的钱：互联网、移动互联网、K12教育、视频......现在这些都没法干了，未来20年只会越来越差。#投资#,2023-05-30,0
4907053292458862,消费的政策死不出来，不停地打嘴炮，好了！A股现在自宫了！,2023-05-30,-1
4907022179631142,"学习一定要从兴趣出发，激发内驱力才有效。比如经过最近三个月的大讨论，A股股民对服务器，GPU，AI，大模型等软硬件，就有了一个全面深刻的了解，并且对最新知识如饥似渴，比如昨天英伟达才发布的GH200,昨晚各大群就已经在深度热烈的讨论了。",2023-05-30,1
4907083772723764,A股市场逐渐机构化是大势所趋，2015之后，A股机构化得到了显著提升，个人投资者也就是散户交易占比下滑了30%，达到60%左右。各位个人投资者朋友，你还在坚持吗？,2023-05-30,0
4907114210001015,贵州茅台为首，千百元级别A股6连阴、新低、大滑梯集锦。有没有咱家的票票？,2023-05-30,-1
4907111891339030,都对A股绝望了吧？买在2900，套在3200,2023-05-30,-1
4907112000654126,大盘又红了，又深V回来了，，经济是在复苏的，，祖国是在强大的，，通胀是在合理运行的，，大A股也终究是要上涨的，，互动一波人气，晚上见，今晚看业，要不要搞个直播呢，伙伴们怎么看？？,2023-05-30,1
4907086686979105,退市未来：单日跌80％今天股民们算是见证了历史，600532退市未来今天最大跌幅84%，这应该是A股市场有史以来的单日最大的跌幅。,2023-05-30,-1
4906828544083472,这就是超级核心技术，你A股炒的是啥？都是烂玩意，心里没点逼数吗？,2023-05-29,-1
4906653817770666,【每日早盘操作计划和应变思维】1、关键消息：“冷门”电力股忽然“大火”。2、市场背景：全面注册制制度规则发布实施满百日：全方位改革塑造A股优胜劣汰生态上市公司质量整体向好向优。3、昨夜A50期指：0.47%。4、操作计划：观察箱底的异动和人民币贬值情况。,2023-05-29,0
4906650350391559,早盘外围一片红~~~今天A股压力非常大，应不应该红呢？,2023-05-29,0
4906674115057199,A股四指数指总体上来说是同向的，差别只是幅度问题。要涨都会涨，要跌都会跌。鉴于宁王在创业板指数的权重高达16%左右，宁王涨则创业板涨，宁王跌则创业板跌。于是得出结论：宁王涨则A股涨，宁王跌则A股跌。你们说这个逻辑对不对？千斤重担落在宁王肩上，压力山大啊！,2023-05-29,0
4906699959310108,A股全球遥遥领先，一枝独秀，绿帽子秀。,2023-05-29,-1
4906302448862759,按数据看6月A股限售股上市数量共计914.94亿股，以5月26日收盘价计算，市值约为7427.7亿元，较5月环比大增437.7%、118.35%。,2023-05-28,0
